	fxns_by_genome	category	TG9	Cluster_3B	genomes_other	Cluster_3B_other	genomes_other_percent	Cluster_3B_other_percent	genomes_total_percent
Antitoxin VapB47	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Apocarotenoid-15,15'-oxygenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Arginine--pyruvate transaminase AruH	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Arginine-binding extracellular protein ArtP	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Arginine/ornithine antiporter	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Aryl-phospho-beta-D-glucosidase BglH	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Aspartate aminotransferase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
beta-carotene 15,15'-dioxygenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Betaine/ectoine transporter LcoP	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Bifunctional polymyxin resistance protein ArnA	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Carbon dioxide concentrating mechanism protein CcmL	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Carbonic anhydrase 2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Carboxyvinyl-carboxyphosphonate phosphorylmutase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Cell division protein FtsA	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Chaperone protein ClpB 1	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Chemotaxis protein methyltransferase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Choline dehydrogenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Cobalt-containing nitrile hydratase subunit alpha	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Cobalt-containing nitrile hydratase subunit beta	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Creatinase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Creatinine amidohydrolase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
CRISPR system Cascade subunit CasC	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Cyclohexanone 1,2-monooxygenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Cysteine desulfurase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Cytochrome P450 105A3	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Cytosine deaminase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
cytosol aminopeptidase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
D-alanyl-D-alanine carboxypeptidase DacC	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
D-galactonate dehydratase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
D-galactosamine-6-phosphate deaminase AgaS	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
D-ribose pyranase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
D-tagatose-1,6-bisphosphate aldolase subunit KbaY	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
D-tagatose-1,6-bisphosphate aldolase subunit KbaZ	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Delta(1)-pyrroline-2-carboxylate reductase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Diaminopropionate ammonia-lyase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Dicamba O-demethylase 2, ferredoxin reductase component	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Dicamba O-demethylase, oxygenase component	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Diguanylate cyclase DgcM	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Dihydrofolate reductase type 2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Dipeptide transport system permease protein DppC	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
DNA protection during starvation protein 2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Elongation factor P hydroxylase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Enamidase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Enantioselective amidase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Endoribonuclease MazF	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
ESAT-6-like protein EsxE	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
ESX-1 secretion system protein EccA1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
ESX-5 secretion system ATPase EccB5	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Ferredoxin CarAc	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Flavin reductase (NADH)	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Flavin-dependent L-tryptophan oxidase RebO	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Flavodoxin FldP	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Fluoren-9-ol dehydrogenase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Fluorothreonine transaldolase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
FMN reductase (NADH) NtaB	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Formate dehydrogenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Fructosamine kinase FrlD	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Galactarate dehydratase (L-threo-forming)	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Gamma-butyrobetaine dioxygenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
GDP-6-deoxy-D-mannose reductase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
General stress protein 14	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Geraniol dehydrogenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Glucose--fructose oxidoreductase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Glucose-1-phosphate thymidylyltransferase 2	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Glutaconate CoA-transferase subunit A	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Glutamate-1-semialdehyde 2,1-aminomutase 2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Glutaredoxin arsenate reductase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Green-light absorbing proteorhodopsin	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Heme oxygenase HutZ	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
hercynylcysteine sulfoxide lyase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
High-affinity choline transport protein	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
High-affinity heme uptake system protein IsdE	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Histone deacetylase-like amidohydrolase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
HTH-type transcriptional regulator IscR	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
HTH-type transcriptional regulator RpiR	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
HTH-type transcriptional regulator TtgV	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Hydroxycinnamoyl-CoA hydratase-lyase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Indole-3-acetyl-aspartic acid hydrolase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Inner membrane ABC transporter permease protein YcjO	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Inner membrane protein YcfT	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Ion-translocating oxidoreductase complex subunit C	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Iron uptake protein A1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS110 family transposase ISBcen2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS110 family transposase ISEc21	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS110 family transposase ISHvo9	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS110 family transposase ISPye32	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
IS110 family transposase ISSso6	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS1595 family transposase ISGlsu1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS1595 family transposase ISRop3	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS21 family transposase IS1612	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
IS21 family transposase ISBli7	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS21 family transposase ISBmu3	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS21 family transposase ISChy4	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS21 family transposase ISMt3	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS256 family transposase ISMlu1	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
IS3 family transposase IS1137	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
IS3 family transposase ISAar26	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS3 family transposase ISMyma8	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS30 family transposase ISMtsp4	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS481 family transposase IS3514	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
IS481 family transposase ISAar35	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS481 family transposase ISKrh1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS481 family transposase ISMyma4	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS481 family transposase ISPfr15	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS5 family transposase IS1647	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
IS5 family transposase ISFal3B	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS630 family transposase IS1066	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS630 family transposase ISBli13	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS630 family transposase ISCARN39	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS630 family transposase ISRjo2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
IS982 family transposase ISCef2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
ISL3 family transposase IS1557	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
ISL3 family transposase ISAar39	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
ISNCY family transposase ISBli15	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
ISNCY family transposase ISRjo3	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Isoleucine 2-epimerase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
L-asparaginase 2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
L-glutamyl-[BtrI acyl-carrier protein] decarboxylase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
L( )-tartrate dehydratase subunit alpha	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
L( )-tartrate dehydratase subunit beta	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Lactate racemase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Limonene hydroxylase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Low-affinity gluconate transporter	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Low-molecular weight cobalt-containing nitrile hydratase subunit beta	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Lysine N-acyltransferase MbtK	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Mandelamide hydrolase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Metal-staphylopine import system ATP-binding protein CntD	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Methylaspartate ammonia-lyase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Methylmalonate-semialdehyde dehydrogenase [acylating]	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Methylxanthine N1-demethylase NdmA	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Modification methylase AplI	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Modification methylase DpnIIB	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Modification methylase Eco57IB	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Monodechloroaminopyrrolnitrin synthase PrnB	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Multidrug resistance protein MdtK	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Multidrug resistance protein Mmr	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Mycocerosic acid synthase-like polyketide synthase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Mycosin-1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
N-acetyl-alpha-D-glucosaminyl L-malate synthase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
N-acetyl-D-glucosamine kinase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
N-acetylmuramic acid/N-acetylglucosamine kinase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
N-acetylneuraminate lyase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
N,N'-diacetyllegionaminic acid synthase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Na( )/H( ) antiporter subunit A1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Na( )/H( ) antiporter subunit C	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
NAD(P)H-quinone oxidoreductase chain 4 1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
NAD(P)H-quinone oxidoreductase subunit 3	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
NADP-reducing hydrogenase subunit HndC	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
NADPH-dependent reductase BacG	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Naphthalene 1,2-dioxygenase system, ferredoxin component	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Narbonolide/10-deoxymethynolide synthase PikA1, modules 1 and 2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Nicotine metabolites export pump subunit NepA	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Nitrate import ATP-binding protein NrtC	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Nitrilase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Nitrite transporter NirC	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Nitrobenzene nitroreductase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Non-ribosomal peptide synthetase CmlP	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Nucleoid-associated protein	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Oligo-1,6-glucosidase 1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Oligosaccharides import ATP-binding protein MsmX	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Oxaloacetate decarboxylase alpha chain	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
p-hydroxyphenylacetate 3-hydroxylase, oxygenase component	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Pentachlorophenol 4-monooxygenase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Peptide methionine sulfoxide reductase MsrA 3	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Petrobactin import system permease protein FpuB	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Phenazine biosynthesis protein PhzB2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Phenazine biosynthesis protein PhzD2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Phenolic acid decarboxylase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Phenoxybenzoate dioxygenase subunit alpha	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Phenylalanine-specific permease	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Phosphate transport system permease protein PstA	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Phthalate 4,5-dioxygenase oxygenase reductase subunit	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Plipastatin synthase subunit A	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Poly-beta-1,6-N-acetyl-D-glucosamine synthase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Polyketide synthase PksM	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Primary amine oxidase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Primer-independent DNA polymerase PolB	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Protein FixB	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Protein SapB	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Protein SphX	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Protein-L-isoaspartate O-methyltransferase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Protocatechuate 4,5-dioxygenase beta chain	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
PTS system beta-glucoside-specific EIIBCA component	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative 2-dehydro-3-deoxygalactonokinase DgoK1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Putative 2-heptyl-3-hydroxy-4(1H)-quinolone synthase AqdB1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative 2-heptyl-3-hydroxy-4(1H)-quinolone synthase AqdB2	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
putative acyl-CoA dehydrogenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative cysteine-rich protein YhjQ	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Putative cytochrome P450 126	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Putative defective protein IntQ	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Putative deoxyribonuclease RhsC	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative enoyl-CoA hydratase echA14	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative fructose-bisphosphate aldolase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative glutamine ABC transporter permease protein GlnP	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative glycosyltransferase EpsJ	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative HTH-type transcriptional regulator YtcD	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
putative L-asparaginase periplasmic	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative L-prolyl-AMP ligase PigI	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Putative metabolite transport protein NicT	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative MFS-type transporter YhhS	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative multidrug ABC transporter permease YbhR	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative peptidase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative protein YbiU	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative protein YdjI	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative protein YndB	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative quorum-quenching lactonase YtnP	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative sensor histidine kinase TcrY	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative sugar transferase EpsL	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Putative toxinA/RVBD_3098A	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
putative UbiX-like flavin prenyltransferase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Pyridinium-3,5-biscarboxylic acid mononucleotide synthase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Pyrimidine-nucleoside phosphorylase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
