"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000236965_prok","GCA_000763325_prok","GCA_001465325_prok","GCA_001665495_prok","GCA_001886355_prok","GCA_001894905_prok","GCA_002215235_prok","GCA_003004765_prok","GCA_003288095_prok","GCA_003633655_prok","GCA_004153645_prok","GCA_009831075_prok","GCA_900105195_prok","GCA_900177695_prok","GCA_900455725_prok"
"group_1041","fadD3_2","3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase","15","15","1","43","2411","","","","1544","1547","1546","GCA_000236965_prok_04541","GCA_000763325_prok_01837","GCA_001465325_prok_04284","GCA_001665495_prok_00472","GCA_001886355_prok_04841","GCA_001894905_prok_02850","GCA_002215235_prok_04401","GCA_003004765_prok_02284","GCA_003288095_prok_01117","GCA_003633655_prok_01968","GCA_004153645_prok_03462","GCA_009831075_prok_03196","GCA_900105195_prok_04598","GCA_900177695_prok_01048","GCA_900455725_prok_03721"
"group_1045","","putative oxidoreductase","15","15","1","43","3111","","","","761","776","772","GCA_000236965_prok_01003","GCA_000763325_prok_02584","GCA_001465325_prok_01958","GCA_001665495_prok_00325","GCA_001886355_prok_00650","GCA_001894905_prok_04605","GCA_002215235_prok_00265","GCA_003004765_prok_03098","GCA_003288095_prok_01906","GCA_003633655_prok_01199","GCA_004153645_prok_04016","GCA_009831075_prok_03583","GCA_900105195_prok_03749","GCA_900177695_prok_05375","GCA_900455725_prok_04474"
"group_1048","whiB_1","Transcriptional regulator WhiB","15","15","1","43","5696","","","","275","275","275","GCA_000236965_prok_01067","GCA_000763325_prok_00728","GCA_001465325_prok_00296","GCA_001665495_prok_04191","GCA_001886355_prok_03474","GCA_001894905_prok_03463","GCA_002215235_prok_00803","GCA_003004765_prok_01213","GCA_003288095_prok_04589","GCA_003633655_prok_03460","GCA_004153645_prok_01181","GCA_009831075_prok_02328","GCA_900105195_prok_01173","GCA_900177695_prok_02155","GCA_900455725_prok_02768"
"group_1051","","hypothetical protein","15","15","1","43","4547","","","","356","638","374","GCA_000236965_prok_01283","GCA_000763325_prok_00316","GCA_001465325_prok_00747","GCA_001665495_prok_02021","GCA_001886355_prok_03009","GCA_001894905_prok_01598","GCA_002215235_prok_02795","GCA_003004765_prok_00676","GCA_003288095_prok_04156","GCA_003633655_prok_03885","GCA_004153645_prok_03751","GCA_009831075_prok_01106","GCA_900105195_prok_01583","GCA_900177695_prok_05206","GCA_900455725_prok_02340"
"kshB_1","","3-ketosteroid-9-alpha-monooxygenase, ferredoxin reductase component","15","15","1","43","4727","","","","671","1055","1029","GCA_000236965_prok_01443","GCA_000763325_prok_00143","GCA_001465325_prok_00922","GCA_001665495_prok_01334","GCA_001886355_prok_02838","GCA_001894905_prok_01426","GCA_002215235_prok_02967","GCA_003004765_prok_05085","GCA_003288095_prok_03984","GCA_003633655_prok_04057","GCA_004153645_prok_03580","GCA_009831075_prok_04027","GCA_900105195_prok_01755","GCA_900177695_prok_00297","GCA_900455725_prok_02172"
"crtI","","Phytoene desaturase (lycopene-forming)","15","15","1","43","3676","","","","1619","1622","1619","GCA_000236965_prok_01511","GCA_000763325_prok_01433","GCA_001465325_prok_02789","GCA_001665495_prok_04213","GCA_001886355_prok_03756","GCA_001894905_prok_01283","GCA_002215235_prok_01847","GCA_003004765_prok_01857","GCA_003288095_prok_00703","GCA_003633655_prok_02404","GCA_004153645_prok_00545","GCA_009831075_prok_00949","GCA_900105195_prok_00352","GCA_900177695_prok_01507","GCA_900455725_prok_03337"
"carA2","","zeta-carotene-forming phytoene desaturase","15","15","1","43","7358","","","","1532","1541","1533","GCA_000236965_prok_00964","GCA_000763325_prok_04055","GCA_001465325_prok_03345","GCA_001665495_prok_01449","GCA_001886355_prok_02147","GCA_001894905_prok_00560","GCA_002215235_prok_03631","GCA_003004765_prok_04478","GCA_003288095_prok_03335","GCA_003633655_prok_04798","GCA_004153645_prok_01606","GCA_009831075_prok_00041","GCA_900105195_prok_02349","GCA_900177695_prok_04608","GCA_900455725_prok_01593"
"paaG_2","","1,2-epoxyphenylacetyl-CoA isomerase","15","15","1","43","3622","","","","779","779","779","GCA_000236965_prok_01560","GCA_000763325_prok_01482","GCA_001465325_prok_02741","GCA_001665495_prok_04261","GCA_001886355_prok_03708","GCA_001894905_prok_01331","GCA_002215235_prok_01797","GCA_003004765_prok_01905","GCA_003288095_prok_00751","GCA_003633655_prok_02356","GCA_004153645_prok_00508","GCA_009831075_prok_00997","GCA_900105195_prok_00304","GCA_900177695_prok_01555","GCA_900455725_prok_03374"
"group_1066","","hypothetical protein","15","15","1","43","3552","","","","1160","1160","1160","GCA_000236965_prok_01605","GCA_000763325_prok_01526","GCA_001465325_prok_02680","GCA_001665495_prok_04304","GCA_001886355_prok_03665","GCA_001894905_prok_04724","GCA_002215235_prok_03226","GCA_003004765_prok_01969","GCA_003288095_prok_00800","GCA_003633655_prok_02295","GCA_004153645_prok_00470","GCA_009831075_prok_02275","GCA_900105195_prok_00243","GCA_900177695_prok_01615","GCA_900455725_prok_03413"
"rmlB","","dTDP-glucose 4,6-dehydratase","15","15","1","43","3539","","","","1007","1007","1007","GCA_000236965_prok_01618","GCA_000763325_prok_01539","GCA_001465325_prok_02667","GCA_001665495_prok_04317","GCA_001886355_prok_03652","GCA_001894905_prok_04712","GCA_002215235_prok_03214","GCA_003004765_prok_01982","GCA_003288095_prok_00813","GCA_003633655_prok_02283","GCA_004153645_prok_00458","GCA_009831075_prok_02262","GCA_900105195_prok_00231","GCA_900177695_prok_01627","GCA_900455725_prok_03425"
"yfdE_1","","Acetyl-CoA:oxalate CoA-transferase","15","15","1","43","4416","","","","1097","1097","1097","GCA_000236965_prok_01904","GCA_000763325_prok_00429","GCA_001465325_prok_00616","GCA_001665495_prok_01290","GCA_001886355_prok_03118","GCA_001894905_prok_01708","GCA_002215235_prok_03058","GCA_003004765_prok_00816","GCA_003288095_prok_04268","GCA_003633655_prok_03775","GCA_004153645_prok_03869","GCA_009831075_prok_01165","GCA_900105195_prok_01473","GCA_900177695_prok_04019","GCA_900455725_prok_02447"
"group_1085","","hypothetical protein","15","15","1","43","7619","","","","1142","1259","1196","GCA_000236965_prok_02221","GCA_000763325_prok_03829","GCA_001465325_prok_03601","GCA_001665495_prok_02520","GCA_001886355_prok_01921","GCA_001894905_prok_04441","GCA_002215235_prok_03669","GCA_003004765_prok_04237","GCA_003288095_prok_03110","GCA_003633655_prok_00017","GCA_004153645_prok_00392","GCA_009831075_prok_02851","GCA_900105195_prok_02576","GCA_900177695_prok_04378","GCA_900455725_prok_01367"
"group_1086","","hypothetical protein","15","15","1","43","6322","","","","731","1049","1014","GCA_000236965_prok_02265","GCA_000763325_prok_03784","GCA_001465325_prok_03642","GCA_001665495_prok_02124","GCA_001886355_prok_01871","GCA_001894905_prok_04485","GCA_002215235_prok_03676","GCA_003004765_prok_04194","GCA_003288095_prok_03066","GCA_003633655_prok_00061","GCA_004153645_prok_02870","GCA_009831075_prok_02888","GCA_900105195_prok_02620","GCA_900177695_prok_04335","GCA_900455725_prok_01324"
"menF_1","","Putative isochorismate synthase MenF","15","15","1","43","5618","","","","1082","1082","1082","GCA_000236965_prok_02355","GCA_000763325_prok_00662","GCA_001465325_prok_00366","GCA_001665495_prok_04123","GCA_001886355_prok_03409","GCA_001894905_prok_03529","GCA_002215235_prok_03772","GCA_003004765_prok_01140","GCA_003288095_prok_04522","GCA_003633655_prok_03526","GCA_004153645_prok_01245","GCA_009831075_prok_02573","GCA_900105195_prok_01239","GCA_900177695_prok_02346","GCA_900455725_prok_02698"
"rpsJ","","30S ribosomal protein S10","15","15","1","43","4198","","","","305","305","305","GCA_000236965_prok_00325","GCA_000763325_prok_00088","GCA_001465325_prok_05004","GCA_001665495_prok_03056","GCA_001886355_prok_02790","GCA_001894905_prok_00012","GCA_002215235_prok_04477","GCA_003004765_prok_05037","GCA_003288095_prok_03936","GCA_003633655_prok_04103","GCA_004153645_prok_02130","GCA_009831075_prok_03184","GCA_900105195_prok_01801","GCA_900177695_prok_00632","GCA_900455725_prok_02128"
"group_10883","","tRNA-Thr(ggt)","15","15","1","43","4667","","","","73","73","73","GCA_000236965_prok_02666","GCA_000763325_prok_00199","GCA_001465325_prok_00865","GCA_001665495_prok_01390","GCA_001886355_prok_02894","GCA_001894905_prok_01482","GCA_002215235_prok_02911","GCA_003004765_prok_00557","GCA_003288095_prok_04040","GCA_003633655_prok_04001","GCA_004153645_prok_03636","GCA_009831075_prok_04082","GCA_900105195_prok_01699","GCA_900177695_prok_05088","GCA_900455725_prok_02227"
"group_10884","","tRNA-Ala(tgc)","15","15","1","43","10728","","","","73","73","73","GCA_000236965_prok_04334","GCA_000763325_prok_01320","GCA_001465325_prok_02884","GCA_001665495_prok_03214","GCA_001886355_prok_04154","GCA_001894905_prok_01196","GCA_002215235_prok_01949","GCA_003004765_prok_01766","GCA_003288095_prok_00615","GCA_003633655_prok_02515","GCA_004153645_prok_00644","GCA_009831075_prok_01984","GCA_900105195_prok_00439","GCA_900177695_prok_01407","GCA_900455725_prok_03247"
"mbtH","","Protein MbtH","15","15","1","43","2543","","","","236","236","236","GCA_000236965_prok_03164","GCA_000763325_prok_01902","GCA_001465325_prok_04583","GCA_001665495_prok_03622","GCA_001886355_prok_04923","GCA_001894905_prok_02767","GCA_002215235_prok_04299","GCA_003004765_prok_02388","GCA_003288095_prok_01199","GCA_003633655_prok_01885","GCA_004153645_prok_03378","GCA_009831075_prok_01378","GCA_900105195_prok_04515","GCA_900177695_prok_00949","GCA_900455725_prok_03805"
"group_10886","","tRNA-His(gtg)","15","15","1","43","1547","","","","74","75","74","GCA_000236965_prok_00579","GCA_000763325_prok_02908","GCA_001465325_prok_01395","GCA_001665495_prok_04106","GCA_001886355_prok_00997","GCA_001894905_prok_02239","GCA_002215235_prok_04006","GCA_003004765_prok_03382","GCA_003288095_prok_02195","GCA_003633655_prok_00873","GCA_004153645_prok_00341","GCA_009831075_prok_00714","GCA_900105195_prok_03438","GCA_900177695_prok_02504","GCA_900455725_prok_00602"
"group_10887","","tRNA-Val(gac)","15","15","1","43","1907","","","","72","72","72","GCA_000236965_prok_03581","GCA_000763325_prok_03260","GCA_001465325_prok_00962","GCA_001665495_prok_01655","GCA_001886355_prok_01341","GCA_001894905_prok_01873","GCA_002215235_prok_00615","GCA_003004765_prok_03708","GCA_003288095_prok_02563","GCA_003633655_prok_00511","GCA_004153645_prok_02448","GCA_009831075_prok_00318","GCA_900105195_prok_03072","GCA_900177695_prok_02845","GCA_900455725_prok_00915"
"group_10888","","tRNA-Pro(cgg)","15","15","1","43","2259","","","","74","74","74","GCA_000236965_prok_02491","GCA_000763325_prok_01693","GCA_001465325_prok_04403","GCA_001665495_prok_02563","GCA_001886355_prok_04696","GCA_001894905_prok_04146","GCA_002215235_prok_01603","GCA_003004765_prok_02134","GCA_003288095_prok_00975","GCA_003633655_prok_02111","GCA_004153645_prok_04208","GCA_009831075_prok_00403","GCA_900105195_prok_04739","GCA_900177695_prok_00765","GCA_900455725_prok_03579"
"group_10889","","Serine protease inhibitor","15","15","1","43","10719","","","","416","416","416","GCA_000236965_prok_04325","GCA_000763325_prok_01311","GCA_001465325_prok_02893","GCA_001665495_prok_03223","GCA_001886355_prok_04144","GCA_001894905_prok_01187","GCA_002215235_prok_01958","GCA_003004765_prok_01757","GCA_003288095_prok_00606","GCA_003633655_prok_02524","GCA_004153645_prok_00653","GCA_009831075_prok_01993","GCA_900105195_prok_00448","GCA_900177695_prok_01398","GCA_900455725_prok_03238"
"groS","","10 kDa chaperonin","15","15","1","43","4135","","","","302","302","302","GCA_000236965_prok_04675","GCA_000763325_prok_04604","GCA_001465325_prok_04912","GCA_001665495_prok_03099","GCA_001886355_prok_02729","GCA_001894905_prok_00073","GCA_002215235_prok_04538","GCA_003004765_prok_04976","GCA_003288095_prok_03875","GCA_003633655_prok_04164","GCA_004153645_prok_02069","GCA_009831075_prok_03123","GCA_900105195_prok_01862","GCA_900177695_prok_00571","GCA_900455725_prok_02067"
"rpsZ","","30S ribosomal protein S14 type Z","15","15","1","43","4184","","","","185","185","185","GCA_000236965_prok_00311","GCA_000763325_prok_00074","GCA_001465325_prok_05018","GCA_001665495_prok_03042","GCA_001886355_prok_02776","GCA_001894905_prok_00026","GCA_002215235_prok_04491","GCA_003004765_prok_05023","GCA_003288095_prok_03922","GCA_003633655_prok_04117","GCA_004153645_prok_02116","GCA_009831075_prok_03170","GCA_900105195_prok_01815","GCA_900177695_prok_00618","GCA_900455725_prok_02114"
"rpsL","","30S ribosomal protein S12","15","15","1","43","4711","","","","374","374","374","GCA_000236965_prok_02625","GCA_000763325_prok_00158","GCA_001465325_prok_00907","GCA_001665495_prok_01349","GCA_001886355_prok_02853","GCA_001894905_prok_01441","GCA_002215235_prok_02952","GCA_003004765_prok_05100","GCA_003288095_prok_03999","GCA_003633655_prok_04042","GCA_004153645_prok_03595","GCA_009831075_prok_04042","GCA_900105195_prok_01740","GCA_900177695_prok_00312","GCA_900455725_prok_02186"
"rpmJ","","50S ribosomal protein L36","15","15","1","43","4172","","","","113","113","113","GCA_000236965_prok_00299","GCA_000763325_prok_00062","GCA_001465325_prok_05030","GCA_001665495_prok_03030","GCA_001886355_prok_02764","GCA_001894905_prok_00038","GCA_002215235_prok_04503","GCA_003004765_prok_05011","GCA_003288095_prok_03910","GCA_003633655_prok_04129","GCA_004153645_prok_02104","GCA_009831075_prok_03158","GCA_900105195_prok_01827","GCA_900177695_prok_00606","GCA_900455725_prok_02102"
"rpmB_1","","50S ribosomal protein L28","15","15","1","43","1683","","","","191","191","191","GCA_000236965_prok_03906","GCA_000763325_prok_03027","GCA_001465325_prok_01267","GCA_001665495_prok_02469","GCA_001886355_prok_01118","GCA_001894905_prok_02121","GCA_002215235_prok_03888","GCA_003004765_prok_03492","GCA_003288095_prok_02313","GCA_003633655_prok_00753","GCA_004153645_prok_02234","GCA_009831075_prok_00879","GCA_900105195_prok_03320","GCA_900177695_prok_02630","GCA_900455725_prok_00708"
"fhaB","","FHA domain-containing protein FhaB","15","15","1","43","3762","","","","461","461","461","GCA_000236965_prok_04359","GCA_000763325_prok_01367","GCA_001465325_prok_02859","GCA_001665495_prok_03169","GCA_001886355_prok_04179","GCA_001894905_prok_01220","GCA_002215235_prok_01924","GCA_003004765_prok_01791","GCA_003288095_prok_00639","GCA_003633655_prok_02474","GCA_004153645_prok_00619","GCA_009831075_prok_01958","GCA_900105195_prok_00415","GCA_900177695_prok_01432","GCA_900455725_prok_03272"
"group_10896","","tRNA-Leu(caa)","15","15","1","43","7536","","","","75","76","75","GCA_000236965_prok_00814","GCA_000763325_prok_03909","GCA_001465325_prok_03515","GCA_001665495_prok_02318","GCA_001886355_prok_02000","GCA_001894905_prok_00706","GCA_002215235_prok_00941","GCA_003004765_prok_04322","GCA_003288095_prok_03191","GCA_003633655_prok_04942","GCA_004153645_prok_01452","GCA_009831075_prok_01235","GCA_900105195_prok_02495","GCA_900177695_prok_04461","GCA_900455725_prok_01438"
"group_10897","","tRNA-Ala(cgc)","15","15","1","43","10975","","","","74","74","74","GCA_000236965_prok_01148","GCA_000763325_prok_02275","GCA_001465325_prok_02554","GCA_001665495_prok_01935","GCA_001886355_prok_00313","GCA_001894905_prok_04349","GCA_002215235_prok_02538","GCA_003004765_prok_02784","GCA_003288095_prok_01588","GCA_003633655_prok_01509","GCA_004153645_prok_03034","GCA_009831075_prok_01767","GCA_900105195_prok_04142","GCA_900177695_prok_03646","GCA_900455725_prok_04139"
"rpmF_1","","50S ribosomal protein L32","15","15","1","43","1692","","","","182","182","182","GCA_000236965_prok_03915","GCA_000763325_prok_03035","GCA_001465325_prok_01259","GCA_001665495_prok_02461","GCA_001886355_prok_01127","GCA_001894905_prok_02113","GCA_002215235_prok_03880","GCA_003004765_prok_03500","GCA_003288095_prok_02321","GCA_003633655_prok_00745","GCA_004153645_prok_02242","GCA_009831075_prok_00871","GCA_900105195_prok_03312","GCA_900177695_prok_02638","GCA_900455725_prok_00716"
"group_10899","","hypothetical protein","15","15","1","43","4741","","","","95","95","95","GCA_000236965_prok_01431","GCA_000763325_prok_00128","GCA_001465325_prok_00937","GCA_001665495_prok_01322","GCA_001886355_prok_02826","GCA_001894905_prok_01414","GCA_002215235_prok_02982","GCA_003004765_prok_05071","GCA_003288095_prok_03972","GCA_003633655_prok_04069","GCA_004153645_prok_03567","GCA_009831075_prok_04012","GCA_900105195_prok_01767","GCA_900177695_prok_00283","GCA_900455725_prok_02159"
"group_1090","menF_4","Putative isochorismate synthase MenF","15","15","1","43","2601","","","","1142","1142","1142","GCA_000236965_prok_03124","GCA_000763325_prok_01943","GCA_001465325_prok_04542","GCA_001665495_prok_03581","GCA_001886355_prok_04964","GCA_001894905_prok_02727","GCA_002215235_prok_04257","GCA_003004765_prok_02427","GCA_003288095_prok_01251","GCA_003633655_prok_01844","GCA_004153645_prok_03343","GCA_009831075_prok_01420","GCA_900105195_prok_04475","GCA_900177695_prok_00910","GCA_900455725_prok_03851"
"group_10900","","tRNA-Pro(tgg)","15","15","1","43","1626","","","","76","76","76","GCA_000236965_prok_03845","GCA_000763325_prok_02966","GCA_001465325_prok_01329","GCA_001665495_prok_04049","GCA_001886355_prok_01058","GCA_001894905_prok_02182","GCA_002215235_prok_03943","GCA_003004765_prok_03445","GCA_003288095_prok_02252","GCA_003633655_prok_00814","GCA_004153645_prok_02187","GCA_009831075_prok_00777","GCA_900105195_prok_03381","GCA_900177695_prok_02567","GCA_900455725_prok_00661"
"group_10901","","hypothetical protein","15","15","1","43","2266","","","","164","164","164","GCA_000236965_prok_02484","GCA_000763325_prok_01700","GCA_001465325_prok_04396","GCA_001665495_prok_02570","GCA_001886355_prok_04703","GCA_001894905_prok_04153","GCA_002215235_prok_01596","GCA_003004765_prok_02141","GCA_003288095_prok_00982","GCA_003633655_prok_02104","GCA_004153645_prok_04201","GCA_009831075_prok_00396","GCA_900105195_prok_04732","GCA_900177695_prok_00758","GCA_900455725_prok_03586"
"group_10902","","hypothetical protein","15","15","1","43","1709","","","","242","242","242","GCA_000236965_prok_04071","GCA_000763325_prok_03076","GCA_001465325_prok_01242","GCA_001665495_prok_02196","GCA_001886355_prok_01154","GCA_001894905_prok_02058","GCA_002215235_prok_03863","GCA_003004765_prok_03517","GCA_003288095_prok_02377","GCA_003633655_prok_00696","GCA_004153645_prok_02257","GCA_009831075_prok_00854","GCA_900105195_prok_03257","GCA_900177695_prok_02655","GCA_900455725_prok_00731"
"carD","","RNA polymerase-binding transcription factor CarD","15","15","1","43","2354","","","","488","488","488","GCA_000236965_prok_04595","GCA_000763325_prok_01782","GCA_001465325_prok_04230","GCA_001665495_prok_00526","GCA_001886355_prok_04786","GCA_001894905_prok_02904","GCA_002215235_prok_02268","GCA_003004765_prok_02227","GCA_003288095_prok_01063","GCA_003633655_prok_02022","GCA_004153645_prok_03515","GCA_009831075_prok_01896","GCA_900105195_prok_04652","GCA_900177695_prok_01102","GCA_900455725_prok_03668"
"group_10904","","hypothetical protein","15","15","1","43","3956","","","","230","230","230","GCA_000236965_prok_04842","GCA_000763325_prok_04438","GCA_001465325_prok_01597","GCA_001665495_prok_04470","GCA_001886355_prok_02566","GCA_001894905_prok_00246","GCA_002215235_prok_04705","GCA_003004765_prok_04808","GCA_003288095_prok_03709","GCA_003633655_prok_04331","GCA_004153645_prok_01912","GCA_009831075_prok_02957","GCA_900105195_prok_02035","GCA_900177695_prok_04927","GCA_900455725_prok_01909"
"rpsK","","30S ribosomal protein S11","15","15","1","43","4170","","","","413","413","413","GCA_000236965_prok_00297","GCA_000763325_prok_00060","GCA_001465325_prok_05032","GCA_001665495_prok_03028","GCA_001886355_prok_02762","GCA_001894905_prok_00040","GCA_002215235_prok_04505","GCA_003004765_prok_05009","GCA_003288095_prok_03908","GCA_003633655_prok_04131","GCA_004153645_prok_02102","GCA_009831075_prok_03156","GCA_900105195_prok_01829","GCA_900177695_prok_00604","GCA_900455725_prok_02100"
"group_10906","","hypothetical protein","15","15","1","43","5619","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","173","173","173","GCA_000236965_prok_02356","GCA_000763325_prok_00663","GCA_001465325_prok_00365","GCA_001665495_prok_04124","GCA_001886355_prok_03410","GCA_001894905_prok_03528","GCA_002215235_prok_03773","GCA_003004765_prok_01141","GCA_003288095_prok_04523","GCA_003633655_prok_03525","GCA_004153645_prok_01244","GCA_009831075_prok_02574","GCA_900105195_prok_01238","GCA_900177695_prok_02345","GCA_900455725_prok_02699"
"group_10907","","hypothetical protein","15","15","1","43","4637","","","","209","209","209","GCA_000236965_prok_02697","GCA_000763325_prok_00229","GCA_001465325_prok_00835","GCA_001665495_prok_01420","GCA_001886355_prok_02924","GCA_001894905_prok_01512","GCA_002215235_prok_02882","GCA_003004765_prok_00586","GCA_003288095_prok_04070","GCA_003633655_prok_03971","GCA_004153645_prok_03666","GCA_009831075_prok_04111","GCA_900105195_prok_01669","GCA_900177695_prok_05117","GCA_900455725_prok_02255"
"group_10908","","tRNA-Val(cac)","15","15","1","43","1911","","","","72","73","72","GCA_000236965_prok_03586","GCA_000763325_prok_03265","GCA_001465325_prok_03795","GCA_001665495_prok_01660","GCA_001886355_prok_01346","GCA_001894905_prok_01868","GCA_002215235_prok_00610","GCA_003004765_prok_03713","GCA_003288095_prok_02568","GCA_003633655_prok_00506","GCA_004153645_prok_02453","GCA_009831075_prok_00323","GCA_900105195_prok_03067","GCA_900177695_prok_02850","GCA_900455725_prok_00920"
